ID,NAME,SURNAME,TITLE,OFFICE,EMAIL
W00705683,Josiah,Price,President,CEIS 201,pricej
W00607583,Theo,Alvarez,Vice President,Wentworth 101,alvarezt
W00270186,Elias,Castillo,Director,Wentworth 103,castilloe
W00684735,David,Sanders,IT Admin,Dobbs 202,sandersd
W00748474,Julian,Patel,IT Admin,Dobbs 203,patelj
W00894742,Jacob,Myers,IT Admin,Dobbs 204,myersj
W00906876,Waylon,Long,IT Admin,Dobbs 205,longw
W00982020,Theodore,Ross,IT Admin,Dobbs 206,rosst
W00168446,John,Foster,IT Admin,Dobbs 207,fosterj
W00585487,Matthew,Jimenez,IT Admin,Dobbs 208,jimenezm
