ID,NAME,SURNAME,TITLE,HIREYEAR,DEPT,EMAIL
W00955765,Luca,Stewart,Full Prof.,2011,COMP,stewartl
W00116435,James,Morris,Assisstant Prof.,1985,BIOE,morrisj
W00596962,Grayson,Morales,Assisstant Prof.,2019,BMED,moralesg
W00709660,Leo,Murphy,Assisstant Prof.,2012,MECH,murphyl
W00179846,Ezra,Cook,Assisstant Prof.,2022,BIOE,cooke
W00263582,Aiden,Rogers,Assisstant Prof.,2019,LITR,rogersa
W00867137,Wyatt,Gutierrez,Full Prof.,1976,LITR,gutierrezw
W00635353,Benjamin,Ortiz,Full Prof.,1988,CIVE,ortizb
W00699322,Henry,Morgan,Assisstant Prof.,2009,BMED,morganh
W00770434,Sebastian,Cooper,Full Prof.,1976,ELEC,coopers
W00865644,Owen,Peterson,Assisstant Prof.,1977,ARCH,petersono
W00306364,Jackson,Bailey,Full Prof.,2020,MECH,baileyj
W00267188,Mason,Reed,Assisstant Prof.,1988,MATH,reedm
W00782152,Daniel,Kelly,Assisstant Prof.,1983,ECON,kellyd
W00622073,Jack,Howard,Assisstant Prof.,1978,CIVE,howardj
W00501747,Alexander,Ramos,Assisstant Prof.,2012,ECON,ramosa
W00401670,Hudson,Kim,Assisstant Prof.,2019,ECON,kimh
W00166011,Kai,Cox,Assisstant Prof.,1970,ELEC,coxk
W00969955,Gabriel,Ward,Assisstant Prof.,2017,PHYS,wardg
W00534006,Carter,Richardson,Assisstant Prof.,2015,BIOE,richardsonc
W00833059,William,Watson,Assisstant Prof.,2011,MATH,watsonw
W00007882,Maverick,Brooks,Assisstant Prof.,2021,SOCL,brooksm
W00987538,Muhammad,Chavez,Full Prof.,2007,MECH,chavezm
W00616354,Logan,Wood,Full Prof.,1978,MATH,woodl
W00132288,Michael,James,Full Prof.,2009,PHYS,jamesm
W00256396,Samuel,Bennet,Full Prof.,1976,LITR,bennets
W00394546,Ezekiel,Gray,Full Prof.,1985,CMFM,graye
W00751920,Jayden,Mendoza,Full Prof.,2021,CIVE,mendozaj
W00724910,Luke,Ruiz,Assisstant Prof.,1987,CMFM,ruizl
W00415343,Lincoln,Hughes,Full Prof.,1981,LITR,hughesl
